species_id_old,species_id_new,species_name,group,shade
18032ABIBAL,18032ABIBAL,Abies balsamea,conifer,tolerant
18034PICRUB,18034PICRUB,Picea rubens,conifer,tolerant
18048JUNVIR,18048JUNVIR,Juniperus virginiana,conifer,intolerant
18086LIRTUL,18086LIRTUL,Liriodendron tulipifera,hardwood,intolerant
183295PICGLA,183295PICGLA,Picea glauca,conifer,intermediate
183302PICMAR,183302PICMAR,Picea mariana,conifer,tolerant
183319PINBAN,183319PINBAN,Pinus banksiana,conifer,intolerant
183385PINSTR,183385PINSTR,Pinus strobus,conifer,intermediate
183397TSUCAN,183397TSUCAN,Tsuga canadensis,conifer,tolerant
19027LIQSTY,19027LIQSTY,Liquidambar styraciflua,hardwood,intolerant
19049ULMAME,19049ULMAME,Ulmus americana,hardwood,intermediate
19231CARGLA,19231CARGLA,Carya glabra,hardwood,intermediate
19290QUEALB,19290QUEALB,Quercus alba,hardwood,intermediate
19408QUERUB,19408QUERUB,Quercus rubra,hardwood,intermediate
19422QUESTE,19422QUESTE,Quercus stellata,hardwood,intolerant
19447QUEVEL,19447QUEVEL,Quercus velutina,hardwood,intermediate
19462FAGGRA,19462FAGGRA,Fagus grandifolia,hardwood,tolerant
19481BETALL,19481BETALL,Betula alleghaniensis,hardwood,intermediate
19489BETPAP,19489BETPAP,Betula papyrifera,hardwood,intolerant
19511OSTVIR,19511OSTVIR,Ostrya virginiana,hardwood,tolerant
195773POPTRE,195773POPTRE,Populus tremuloides,hardwood,intolerant
21536TILAME,21536TILAME,Tilia americana,hardwood,tolerant
22463POPGRA,22463POPGRA,Populus grandidentata,hardwood,intolerant
24764PRUSER,24764PRUSER,Prunus serotina,hardwood,intolerant
24799PRUPEN,24799PRUPEN,Prunus pensylvanica,hardwood,intolerant
26879PROGLA,26879PROGLA,Prosopis glandulosa,hardwood,intermediate
27821NYSSYL,27821NYSSYL,Nyssa sylvatica,hardwood,tolerant
28728ACERUB,28728ACERUB,Acer rubrum,hardwood,intermediate
28731ACESAC,28731ACESAC,Acer saccharum,hardwood,tolerant
32929FRAPEN,32929FRAPEN,Fraxinus pennsylvanica,hardwood,intermediate
32931FRAAME,32931FRAAME,Fraxinus americana,hardwood,intermediate
32945FRANIG,32945FRANIG,Fraxinus nigra,hardwood,intermediate
505490THUOCC,505490THUOCC,Thuja occidentalis,conifer,tolenrat
NACARALB,19247CARTOM,Carya tomentosa,hardwood,intermediate
NAQUEPRI,19398QUEPRI,Quercus prinus,hardwood,intermediate
